vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,SPLIT_TIME,p_AFR,p_EUR,likelihood,posterior
393,7029,29083,26749,23688,10,2000,0.7062901434147822,0.2937098565852177,0.0,0.0
394,14509,20490,28519,46219,10,2000,0.7723518945899522,0.2276481054100477,0.0,0.0
395,11083,49752,15305,35562,13,2000,0.7359421784313962,0.2640578215686038,0.0,0.0
396,15234,48491,22143,28637,14,2000,0.7947106848844432,0.2052893151155568,0.0,0.0
397,19566,13716,11598,24243,12,2000,0.7978415815329619,0.202158418467038,0.0,0.0
398,12417,39163,16515,6922,10,2000,0.8224093689794035,0.1775906310205964,0.0,0.0
399,12966,35261,22114,20652,10,2000,0.7386349685334502,0.2613650314665497,0.0,0.0
400,10045,27669,25100,39156,9,2000,0.8815404220183751,0.1184595779816248,0.55,0.011789924973204717
401,17483,32383,29820,20156,11,2000,0.7010649375760682,0.2989350624239317,0.0,0.0
402,17363,29148,9803,45270,14,2000,0.8263149219050375,0.1736850780949624,0.0,0.0
403,10752,40280,26351,16083,10,2000,0.804406843348064,0.195593156651936,0.0,0.0
404,14308,46596,19199,9188,15,2000,0.8278263726219899,0.1721736273780101,0.0,0.0
405,14589,15922,20269,9262,13,2000,0.8104963975790737,0.1895036024209263,0.0,0.0
406,16755,46622,26101,8583,11,2000,0.7800517359936692,0.2199482640063308,0.0,0.0
407,9542,49714,10770,35466,14,2000,0.8727217143877525,0.1272782856122475,0.31,0.006645230439442658
408,10437,49205,12314,17105,9,2000,0.7745735004291903,0.2254264995708097,0.0,0.0
409,7872,12199,26493,48248,13,2000,0.8258436142078471,0.1741563857921528,0.0,0.0
410,17324,18515,16333,42470,15,2000,0.8223876211648941,0.1776123788351059,0.0,0.0
411,11981,34907,28276,7677,9,2000,0.7207041155897113,0.2792958844102887,0.0,0.0
412,12101,48062,5778,20160,9,2000,0.8181261444243565,0.1818738555756435,0.0,0.0
413,13947,27646,29946,16988,14,2000,0.7786406645582689,0.2213593354417311,0.0,0.0
414,9952,38922,22686,24609,8,2000,0.7534100724799225,0.2465899275200774,0.0,0.0
415,15750,27801,18680,36992,14,2000,0.7011692843926189,0.298830715607381,0.0,0.0
416,10784,22472,13465,19378,16,2000,0.7165519950095534,0.2834480049904466,0.0,0.0
