vector_id,N_ANC,N_AFR,N_EUR,N_ADMIX,ADMIX_TIME,p_AFR,SPLIT_TIME,p_EUR,likelihood,posterior
104,8473,25225,12056,8039,12,0.8381228386009033,2000,0.1618771613990967,0.0,0.0
105,7930,22480,13898,10004,11,0.8322857735958983,2000,0.16771422640410172,0.01,0.0004599816007359705
106,11287,15466,6486,12154,9,0.8147312226155088,2000,0.1852687773844912,0.0,0.0
107,11034,23870,10838,9351,9,0.8276698482285023,2000,0.17233015177149769,0.0,0.0
108,11753,19521,9611,11995,10,0.8908919693885556,2000,0.10910803061144436,0.85,0.039098436062557494
109,10742,21624,14805,8493,11,0.8223413769790131,2000,0.1776586230209869,0.01,0.0004599816007359705
110,10419,19788,8318,10514,10,0.7615392576364398,2000,0.23846074236356019,0.0,0.0
111,9357,21234,10241,11741,11,0.7581131114716675,2000,0.2418868885283325,0.0,0.0
112,12755,26564,13210,13398,10,0.8106850830308658,2000,0.18931491696913416,0.0,0.0
113,7944,22472,11666,11705,9,0.8712696061748928,2000,0.1287303938251072,0.27,0.012419503219871205
114,12973,20243,8741,11218,9,0.7621292554813731,2000,0.2378707445186269,0.0,0.0
115,7732,21828,12308,7508,10,0.8552876769334792,2000,0.14471232306652082,0.11,0.005059797608095676
116,8807,28386,6025,12046,10,0.815740396358327,2000,0.18425960364167304,0.0,0.0
117,8919,28611,6800,12496,9,0.8409451163195899,2000,0.1590548836804101,0.01,0.0004599816007359705
118,8288,20620,9730,8053,10,0.8135957897560985,2000,0.18640421024390152,0.0,0.0
119,7604,20729,13115,11731,11,0.769333168141426,2000,0.23066683185857395,0.0,0.0
120,9659,19140,12945,13355,11,0.8285994328491951,2000,0.17140056715080487,0.0,0.0
121,7042,19291,12663,8958,10,0.7743348858920258,2000,0.22566511410797419,0.0,0.0
122,9026,23863,7984,10340,11,0.8144714314195375,2000,0.18552856858046252,0.0,0.0
123,7036,18787,12943,8625,10,0.7700677526679781,2000,0.2299322473320219,0.0,0.0
124,7588,14993,6816,12789,11,0.830002506110623,2000,0.16999749388937702,0.0,0.0
125,9666,14773,11561,13236,11,0.8299066669252897,2000,0.1700933330747103,0.01,0.0004599816007359705
126,11369,23452,12859,7034,10,0.7898751968568672,2000,0.21012480314313275,0.0,0.0
127,12457,15261,10238,10621,9,0.820867865092304,2000,0.17913213490769597,0.0,0.0
128,10024,21774,7984,14368,11,0.8420812105261858,2000,0.15791878947381421,0.01,0.0004599816007359705
129,11222,17677,11396,8189,10,0.8080995377649296,2000,0.1919004622350704,0.0,0.0
130,9271,14044,7701,10094,11,0.802837861387554,2000,0.19716213861244603,0.0,0.0
131,9828,27553,12220,6674,8,0.8344336784735454,2000,0.16556632152645456,0.01,0.0004599816007359705
132,9504,12510,9554,12526,9,0.8450740533722487,2000,0.15492594662775128,0.01,0.0004599816007359705
133,10742,23655,13002,13271,11,0.7494196641021635,2000,0.25058033589783646,0.0,0.0
134,10822,19385,10230,9084,10,0.7568969628141141,2000,0.24310303718588588,0.0,0.0
135,10665,24470,6724,10406,10,0.8468310557872141,2000,0.15316894421278593,0.06,0.002759889604415823
136,10869,24581,6720,8548,10,0.7075559915373805,2000,0.29244400846261953,0.0,0.0
137,9765,28122,9535,7457,10,0.7693142649984118,2000,0.23068573500158818,0.0,0.0
